game_id,season,home_team,away_team,home_choke
0022100137,2021-22,PHX,ATL,0.0
0022100190,2021-22,CLE,BOS,0.0
0022100098,2021-22,BOS,CHI,1.0
0022100041,2021-22,CHA,BOS,1.0
0022100253,2021-22,CLE,BKN,1.0
0022100224,2021-22,CLE,GSW,1.0
0022100158,2021-22,CLE,WAS,1.0
0022100127,2021-22,TOR,CLE,1.0
0022100201,2021-22,WAS,NOP,0.0
0022100106,2021-22,PHX,NOP,0.0
0022100223,2021-22,POR,CHI,0.0
0022100087,2021-22,MIN,DEN,1.0
0022100012,2021-22,PHX,DEN,1.0
0022100278,2021-22,GSW,PHI,0.0
0022100070,2021-22,GSW,MEM,1.0
0022100051,2021-22,OKC,GSW,1.0
0022100129,2021-22,MIN,LAC,1.0
0022100318,2021-22,SAC,LAL,1.0
0022100291,2021-22,LAL,SAC,1.0
0022100268,2021-22,IND,LAL,1.0
0022100249,2021-22,DET,LAL,1.0
0022100123,2021-22,LAL,OKC,1.0
0022100061,2021-22,OKC,LAL,0.0
0022100053,2021-22,SAS,LAL,1.0
0022100263,2021-22,DET,MIA,1.0
0022100241,2021-22,WAS,MIA,0.0
0022100128,2021-22,MIL,NYK,1.0
0022100149,2021-22,MEM,MIN,0.0
0022100101,2021-22,MIN,ORL,1.0
0022100233,2021-22,BKN,ORL,0.0
0022100021,2021-22,PHI,BKN,1.0
0022100099,2021-22,NYK,TOR,1.0
0022100141,2021-22,ORL,UTA,0.0
0022100003,2021-22,CHA,IND,0.0
0022100180,2021-22,OKC,SAC,0.0
0022100272,2021-22,MEM,TOR,1.0
