game_id,season,home_team,away_team,home_choke
0022001042,2020-21,ATL,WAS,0.0
0022000805,2020-21,CHA,ATL,1.0
0022000660,2020-21,LAC,ATL,0.0
0022000570,2020-21,TOR,ATL,1.0
0022000544,2020-21,ORL,ATL,1.0
0022000219,2020-21,ATL,DET,0.0
0022000095,2020-21,ATL,NYK,1.0
0022000083,2020-21,ATL,CLE,1.0
0022000950,2020-21,BOS,SAS,0.0
0022000806,2020-21,DEN,BOS,1.0
0022000792,2020-21,BOS,MIN,0.0
0022000465,2020-21,NOP,BOS,0.0
0022000350,2020-21,LAC,BOS,1.0
0022000048,2020-21,IND,BOS,1.0
0022000543,2020-21,CLE,IND,1.0
0022001020,2020-21,CHA,NOP,1.0
0022000962,2020-21,MIN,NOP,1.0
0022000689,2020-21,NOP,DEN,1.0
0022000614,2020-21,POR,NOP,0.0
0022000455,2020-21,NOP,PHX,1.0
0022000441,2020-21,NOP,POR,1.0
0022000317,2020-21,NOP,SAC,1.0
0022000126,2020-21,NOP,CHA,1.0
0022000637,2020-21,DEN,CHI,0.0
0022000621,2020-21,CHI,SAS,1.0
0022000508,2020-21,CHI,PHX,1.0
0022000564,2020-21,CHI,DET,0.0
0022000184,2020-21,OKC,CHI,0.0
0022000106,2020-21,POR,CHI,1.0
0022000908,2020-21,DAL,LAL,0.0
0022000319,2020-21,DAL,PHX,1.0
0022000303,2020-21,DAL,PHX,1.0
0022000120,2020-21,DEN,DAL,1.0
0022001015,2020-21,DEN,BKN,1.0
0022000761,2020-21,DEN,ORL,0.0
0022000401,2020-21,DEN,OKC,0.0
0022000238,2020-21,PHX,DEN,1.0
0022000158,2020-21,BKN,DEN,0.0
0022000885,2020-21,WAS,GSW,0.0
0022000449,2020-21,ORL,GSW,0.0
0022000443,2020-21,GSW,MIA,0.0
0022000212,2020-21,LAL,GSW,1.0
0022000130,2020-21,GSW,LAC,0.0
0022000688,2020-21,MIN,HOU,0.0
0022000832,2020-21,DET,LAC,1.0
0022000720,2020-21,LAC,ORL,1.0
0022000285,2020-21,MIA,LAC,1.0
0022000956,2020-21,LAL,SAC,1.0
0022000585,2020-21,LAL,IND,0.0
0022000479,2020-21,LAL,WAS,1.0
0022000722,2020-21,IND,MIA,1.0
0022000678,2020-21,MIA,POR,1.0
0022000331,2020-21,MIA,WAS,1.0
0022000058,2020-21,MIA,MIL,0.0
0022000618,2020-21,PHI,MIL,1.0
0022000909,2020-21,UTA,MIN,1.0
0022000891,2020-21,SAC,MIN,0.0
0022000726,2020-21,MIN,NYK,0.0
0022000628,2020-21,PHX,MIN,1.0
0022000440,2020-21,MIN,IND,1.0
0022000334,2020-21,SAS,MIN,0.0
0022000221,2020-21,MIN,ORL,1.0
0022000169,2020-21,MIN,MEM,1.0
0022000433,2020-21,PHX,BKN,1.0
0022000458,2020-21,NYK,SAS,0.0
0022000793,2020-21,NYK,MEM,0.0
0022000679,2020-21,NYK,WAS,0.0
0022000112,2020-21,NYK,UTA,0.0
0022000961,2020-21,ORL,MEM,0.0
0022000252,2020-21,ORL,CHA,1.0
0022000033,2020-21,WAS,ORL,1.0
0022001012,2020-21,IND,WAS,1.0
0022000751,2020-21,SAS,IND,1.0
0022000307,2020-21,IND,PHI,1.0
0022000577,2020-21,POR,PHX,1.0
0022000496,2020-21,PHX,CHA,1.0
0022000281,2020-21,PHX,OKC,1.0
0022000123,2020-21,DET,PHX,0.0
0022000853,2020-21,SAS,POR,1.0
0022000173,2020-21,SAC,POR,1.0
0022000155,2020-21,POR,TOR,0.0
0022000556,2020-21,SAS,OKC,1.0
0022000593,2020-21,OKC,MEM,0.0
0022000997,2020-21,TOR,WAS,1.0
0022000763,2020-21,TOR,WAS,0.0
0022001080,2020-21,WAS,CHA,0.0
0042000205,2020-21,PHI,ATL,1.0
0042000204,2020-21,ATL,PHI,0.0
0042000166,2020-21,POR,DEN,1.0
0042000226,2020-21,LAC,UTA,0.0
0042000215,2020-21,BKN,MIL,0.0
